time (μs),ω_guess (π/sec),ω_opt (π/sec)
122.700000,46.023589,-148.457788
122.850000,46.065984,-147.304459
123.000000,46.108172,-146.079682
123.150000,46.150152,-144.784861
123.300000,46.191922,-143.421467
123.450000,46.233484,-141.991036
123.600000,46.274836,-140.495166
123.750000,46.315978,-138.935513
123.900000,46.356909,-137.313789
124.050000,46.397630,-135.631759
124.200000,46.438140,-133.891239
124.350000,46.478438,-132.094090
124.500000,46.518524,-130.242219
124.650000,46.558398,-128.337572
124.800000,46.598059,-126.382132
124.950000,46.637507,-124.377919
125.100000,46.676741,-122.326982
125.250000,46.715761,-120.231400
125.400000,46.754567,-118.093275
125.550000,46.793158,-115.914731
125.700000,46.831534,-113.697913
125.850000,46.869695,-111.444979
126.000000,46.907640,-109.158100
126.150000,46.945369,-106.839457
126.300000,46.982881,-104.491237
126.450000,47.020176,-102.115629
126.600000,47.057253,-99.714825
126.750000,47.094113,-97.291010
126.900000,47.130755,-94.846369
127.050000,47.167179,-92.383073
127.200000,47.203384,-89.903284
127.350000,47.239369,-87.409152
127.500000,47.275136,-84.902807
127.650000,47.310682,-82.386361
127.800000,47.346008,-79.861904
127.950000,47.381114,-77.331502
128.100000,47.415998,-74.797194
128.250000,47.450662,-72.260989
128.400000,47.485104,-69.724864
128.550000,47.519323,-67.190766
128.700000,47.553321,-64.660602
128.850000,47.587096,-62.136243
129.000000,47.620648,-59.619521
129.150000,47.653977,-57.112225
129.300000,47.687083,-54.616101
129.450000,47.719964,-52.132852
129.600000,47.752621,-49.664132
129.750000,47.785054,-47.211548
129.900000,47.817262,-44.776658
130.050000,47.849244,-42.360967
130.200000,47.881001,-39.965933
130.350000,47.912532,-37.592956
130.500000,47.943837,-35.243385
130.650000,47.974916,-32.918514
130.800000,48.005768,-30.619580
130.950000,48.036393,-28.347766
131.100000,48.066790,-26.104197
131.250000,48.096960,-23.889940
131.400000,48.126902,-21.706007
131.550000,48.156615,-19.553349
131.700000,48.186100,-17.432860
131.850000,48.215356,-15.345378
132.000000,48.244383,-13.291681
132.150000,48.273181,-11.272490
132.300000,48.301749,-9.288467
132.450000,48.330087,-7.340217
132.600000,48.358195,-5.428290
132.750000,48.386072,-3.553177
132.900000,48.413718,-1.715316
133.050000,48.441134,0.084913
133.200000,48.468317,1.847184
133.350000,48.495270,3.571222
133.500000,48.521990,5.256807
133.650000,48.548478,6.903770
133.800000,48.574734,8.511993
133.950000,48.600757,10.081406
134.100000,48.626548,11.611989
134.250000,48.652105,13.103768
134.400000,48.677428,14.556814
134.550000,48.702518,15.971245
134.700000,48.727374,17.347218
134.850000,48.751996,18.684935
